zip,geoid,state,res_ratio,tot_ratio
02361,14460,MA,1,1
02362,14460,MA,1,1
02364,14460,MA,1,1
02366,14460,MA,0,1
02367,14460,MA,1,1
02368,14460,MA,1,1
02370,14460,MA,1,1
02375,14460,MA,0.000709,0.001335
02375,39300,MA,0.999291,0.998665
02379,14460,MA,1,1
02381,14460,MA,0,1
02382,14460,MA,1,1
02420,14460,MA,1,1
02421,14460,MA,1,1
02445,14460,MA,1,1
02446,14460,MA,1,1
02447,14460,MA,1,1
02451,14460,MA,1,1
02452,14460,MA,1,1
02453,14460,MA,1,1
02454,14460,MA,1,1
02455,14460,MA,1,1
02458,14460,MA,1,1
02459,14460,MA,1,1
02460,14460,MA,1,1
02461,14460,MA,1,1
02462,14460,MA,1,1
02464,14460,MA,1,1
02465,14460,MA,1,1
02466,14460,MA,1,1
02467,14460,MA,1,1
02468,14460,MA,1,1
02471,14460,MA,1,1
02472,14460,MA,1,1
02474,14460,MA,1,1
02476,14460,MA,1,1
02477,14460,MA,0,1
02478,14460,MA,1,1
02481,14460,MA,1,1
02482,14460,MA,1,1
02492,14460,MA,1,1
02493,14460,MA,1,1
02494,14460,MA,1,1
02532,12700,MA,0.80679,0.821429
02532,14460,MA,0.19321,0.178571
02534,12700,MA,1,1
02535,47240,MA,1,1
02536,12700,MA,1,1
02537,12700,MA,1,1
02538,14460,MA,1,1
02539,47240,MA,1,1
02540,12700,MA,1,1
02541,12700,MA,1,1
02542,12700,MA,1,1
02543,12700,MA,1,1
02552,47240,MA,0,1
02553,12700,MA,1,1
02554,34880,MA,1,1
02556,12700,MA,1,1
02557,47240,MA,1,1
02558,14460,MA,1,1
02559,12700,MA,1,1
02561,12700,MA,1,1
02562,12700,MA,1,1
02563,12700,MA,1,1
02564,34880,MA,1,1
02568,39300,MA,0.000567,0.00053
02568,47240,MA,0.999433,0.99947
02571,14460,MA,1,1
02574,12700,MA,1,1
02575,47240,MA,1,1
02576,14460,MA,1,1
02584,34880,MA,1,1
02601,12700,MA,1,1
02630,12700,MA,1,1
02631,12700,MA,1,1
02632,12700,MA,1,1
02633,12700,MA,1,1
02634,12700,MA,1,1
02635,12700,MA,1,1
02637,12700,MA,1,1
02638,12700,MA,1,1
02639,12700,MA,1,1
02641,12700,MA,1,1
02642,12700,MA,1,1
02643,12700,MA,0,1
02644,12700,MA,1,1
02645,12700,MA,1,1
02646,12700,MA,1,1
02647,12700,MA,1,1
02648,12700,MA,1,1
02649,12700,MA,1,1
02650,12700,MA,1,1
02651,12700,MA,0,1
02652,12700,MA,1,1
02653,12700,MA,1,1
02655,12700,MA,1,1
02657,12700,MA,1,1
02659,12700,MA,1,1
02660,12700,MA,1,1
02661,12700,MA,1,1
02662,12700,MA,1,1
02663,12700,MA,0,1
02664,12700,MA,1,1
02666,12700,MA,1,1
02667,12700,MA,1,1
02668,12700,MA,1,1
02669,12700,MA,1,1
02670,12700,MA,1,1
02671,12700,MA,1,1
02672,12700,MA,1,1
02673,12700,MA,1,1
02675,12700,MA,1,1
02702,39300,MA,0.992611,0.992962
02702,14460,MA,0.007389,0.007038
02703,39300,MA,1,1
02712,39300,MA,1,1
02713,47240,MA,0,1
02715,39300,MA,1,1
02717,39300,MA,1,1
02718,39300,MA,1,1
02719,39300,MA,1,1
02720,39300,MA,1,1
02721,39300,MA,1,1
02722,39300,MA,1,1
02723,39300,MA,1,1
02724,39300,MA,1,1
02725,39300,MA,1,1
02726,39300,MA,1,1
02738,14460,MA,1,1
02739,14460,MA,1,1
02740,39300,MA,1,1
02741,39300,MA,1,1
02742,39300,MA,1,1
02743,39300,MA,1,1
02744,39300,MA,1,1
02745,39300,MA,1,1
02746,39300,MA,1,1
02747,39300,MA,1,1
02748,39300,MA,1,1
02760,14460,MA,0.000929,0.000797
02760,39300,MA,0.999071,0.999203
02761,39300,MA,1,1
02762,14460,MA,1,1
02763,39300,MA,1,1
02764,39300,MA,1,1
02766,39300,MA,1,1
02767,39300,MA,0.993848,0.99463
02767,14460,MA,0.006152,0.00537
02768,39300,MA,1,1
02769,39300,MA,1,1
02770,14460,MA,0.996177,0.996361
02770,39300,MA,0.003823,0.003639
02771,39300,MA,1,1
02777,39300,MA,1,1
02779,14460,MA,0.011832,0.012896
02779,39300,MA,0.988168,0.987104
02780,39300,MA,1,1
02790,39300,MA,1,1
02791,39300,MA,0,1
02801,39300,RI,0,1
02802,39300,RI,0,1
02804,39300,RI,1,1
02806,39300,RI,1,1
02807,39300,RI,0,1
02808,39300,RI,1,1
02809,39300,RI,1,1
02812,39300,RI,1,1
02813,39300,RI,1,1
02814,39300,RI,1,1
02815,39300,RI,1,1
02816,39300,RI,1,1
02817,39300,RI,1,1
02818,39300,RI,1,1
02822,39300,RI,1,1
02823,39300,RI,1,1
02824,39300,RI,0,1
02825,39300,RI,1,1
02826,39300,RI,1,1
02827,39300,RI,1,1
02828,39300,RI,1,1
02829,39300,RI,0,1
02830,39300,RI,1,1
02831,39300,RI,1,1
02832,39300,RI,1,1
02833,39300,RI,1,1
02835,39300,RI,1,1
02836,39300,RI,1,1
02837,39300,RI,1,1
02838,39300,RI,1,1
02839,39300,RI,1,1
02840,39300,RI,1,1
02841,39300,RI,0,1
02842,39300,RI,1,1
02852,39300,RI,1,1
02857,39300,RI,1,1
02858,39300,RI,1,1
02859,39300,RI,1,1
02860,39300,RI,1,1
02861,39300,RI,1,1
02862,39300,RI,1,1
02863,39300,RI,1,1
02864,39300,RI,1,1
02865,39300,RI,1,1
02871,39300,RI,1,1
02872,39300,RI,0,1
02873,39300,RI,0,1
02874,39300,RI,1,1
02875,39300,RI,1,1
02876,39300,RI,1,1
02877,39300,RI,1,1
02878,39300,RI,1,1
02879,39300,RI,1,1
02880,39300,RI,1,1
02881,39300,RI,1,1
02882,39300,RI,1,1
02883,39300,RI,1,1
02885,39300,RI,1,1
02886,39300,RI,1,1
02887,39300,RI,1,1
02888,39300,RI,1,1
02889,39300,RI,1,1
02891,39300,RI,1,1
02892,39300,RI,1,1
02893,39300,RI,1,1
02894,39300,RI,1,1
02895,39300,RI,1,1
02896,39300,RI,1,1
02898,39300,RI,1,1
02901,39300,RI,1,1
02902,39300,RI,0,1
02903,39300,RI,1,1
02904,39300,RI,1,1
02905,39300,RI,1,1
02906,39300,RI,1,1
02907,39300,RI,1,1
02908,39300,RI,1,1
02909,39300,RI,1,1
02910,39300,RI,1,1
02911,39300,RI,1,1
02912,39300,RI,0,1
02914,39300,RI,1,1
02915,39300,RI,1,1
02916,39300,RI,1,1
02917,39300,RI,1,1
02918,39300,RI,0,1
02919,39300,RI,1,1
02920,39300,RI,1,1
02921,39300,RI,1,1
02940,39300,RI,1,1
03031,31700,NH,1,1
03032,14460,NH,1,1
03033,31700,NH,1,1
03034,14460,NH,0.999415,0.99945
03034,18180,NH,0.000585,0.00055
03036,14460,NH,1,1
03037,18180,NH,0.012295,0.012758
03037,14460,NH,0.987705,0.987242
03038,14460,NH,1,1
03041,14460,NH,0,1
03042,14460,NH,1,1
03043,31700,NH,1,1
03044,14460,NH,1,1
03045,31700,NH,0.999198,0.999276
03045,18180,NH,0.000802,0.000724
03046,18180,NH,1,1
03047,31700,NH,1,1
03048,31700,NH,1,1
03049,31700,NH,1,1
03051,31700,NH,1,1
03052,31700,NH,1,1
03053,14460,NH,1,1
03054,31700,NH,1,1
03055,31700,NH,1,1
03057,31700,NH,1,1
03060,31700,NH,1,1
03061,31700,NH,1,1
03062,31700,NH,1,1
03063,31700,NH,1,1
03064,31700,NH,1,1
03070,31700,NH,1,1
03071,31700,NH,1,1
03073,14460,NH,1,1
03076,31700,NH,0.99984,0.999853
03076,14460,NH,0.00016,0.000147
03077,14460,NH,1,1
03079,14460,NH,0.997467,0.99776
