state,candidate,phase,positive_cents,net_cents,count
SC,C00901918,between_primary_runoff,231616,231616,21
SC,C00901918,post_runoff,146827,146827,27
SC,C00901918,pre_primary,892900,892900,23
SC,C00919084,between_primary_runoff,4510800,4510800,368
SC,C00919084,post_runoff,3935069,3935069,258
SC,C00919084,pre_primary,5580173,5580173,317
SD,C00369033,between_primary_runoff,50000,50000,1
SD,C00369033,pre_primary,50000,50000,1
SD,C00901918,between_primary_runoff,50000,50000,1
SD,C00901918,pre_primary,75000,75000,2
SD,C00919084,between_primary_runoff,456100,456100,76
SD,C00919084,post_runoff,231369,231369,45
SD,C00919084,pre_primary,477500,477500,48
TN,C00369033,between_primary_runoff,270000,270000,7
TN,C00369033,pre_primary,1202200,1202200,61
TN,C00901918,between_primary_runoff,1751848,1401848,49
TN,C00901918,post_runoff,110443,110443,23
TN,C00901918,pre_primary,2787977,2787977,48
TN,C00919084,between_primary_runoff,8088173,8088173,577
TN,C00919084,post_runoff,5363355,5363355,393
TN,C00919084,pre_primary,9191939,9191939,412
TX,C00369033,between_primary_runoff,68185876,68117605,1103
TX,C00369033,pre_primary,105084951,105061951,2458
TX,C00901918,between_primary_runoff,79523447,74536102,3927
TX,C00901918,post_runoff,46281390,45996505,2336
TX,C00901918,pre_primary,474211768,464558780,4848
TX,C00919084,between_primary_runoff,591154089,591154089,42880
TX,C00919084,post_runoff,314853145,314788145,27728
TX,C00919084,pre_primary,688192238,688107238,36274
UT,C00369033,between_primary_runoff,675000,675000,5
UT,C00369033,pre_primary,602000,602000,7
UT,C00901918,between_primary_runoff,94764,94764,9
UT,C00901918,post_runoff,65000,65000,6
UT,C00901918,pre_primary,9749954,9749954,34
UT,C00919084,between_primary_runoff,2407700,2407700,194
UT,C00919084,post_runoff,2474731,2474731,164
UT,C00919084,pre_primary,2561500,2561500,113
VA,C00369033,between_primary_runoff,6429954,6429954,64
VA,C00369033,pre_primary,8653548,8653548,118
VA,C00901918,between_primary_runoff,1198236,1198236,94
VA,C00901918,post_runoff,1649016,1649016,54
VA,C00901918,pre_primary,2393122,2393122,87
VA,C00919084,between_primary_runoff,14538057,14538057,1068
VA,C00919084,post_runoff,11597100,11597100,835
VA,C00919084,pre_primary,18540046,18540046,720
VT,C00369033,pre_primary,50000,50000,1
VT,C00901918,between_primary_runoff,5000,5000,1
VT,C00919084,between_primary_runoff,2062627,2062627,167
VT,C00919084,post_runoff,1833008,1833008,136
VT,C00919084,pre_primary,1750481,1750481,128
WA,C00369033,between_primary_runoff,200000,200000,3
WA,C00369033,pre_primary,2250000,2100000,10
WA,C00901918,between_primary_runoff,831334,831334,23
WA,C00901918,post_runoff,264308,160206,15
WA,C00901918,pre_primary,582958,582958,27
WA,C00919084,between_primary_runoff,27616868,27616868,1679
WA,C00919084,post_runoff,17328580,17328580,1126
WA,C00919084,pre_primary,18643819,18643819,1088
WI,C00369033,between_primary_runoff,250000,250000,3
WI,C00369033,pre_primary,302400,302400,16
WI,C00901918,between_primary_runoff,197435,197435,18
WI,C00901918,post_runoff,97525,97525,6
WI,C00901918,pre_primary,201115,201115,15
WI,C00919084,between_primary_runoff,2654179,2654179,292
WI,C00919084,post_runoff,2714506,2714506,226
WI,C00919084,pre_primary,3671279,3671279,197
WV,C00369033,between_primary_runoff,2500,2500,1
WV,C00369033,pre_primary,185000,185000,16
WV,C00901918,between_primary_runoff,69820,69820,10
WV,C00901918,post_runoff,11910,11910,2
WV,C00901918,pre_primary,20500,20500,4
WV,C00919084,between_primary_runoff,674820,674820,44
WV,C00919084,post_runoff,492396,492396,34
WV,C00919084,pre_primary,822000,822000,32
WY,C00369033,between_primary_runoff,50000,50000,1
WY,C00369033,pre_primary,50000,50000,1
WY,C00901918,between_primary_runoff,60599,60599,5
WY,C00901918,post_runoff,15000,15000,2
WY,C00901918,pre_primary,1522870,1522870,8
WY,C00919084,between_primary_runoff,1452734,1452734,42
WY,C00919084,post_runoff,1865896,1865896,42
WY,C00919084,pre_primary,2218400,2218400,34
XX,C00901918,between_primary_runoff,50000,50000,1
XX,C00901918,pre_primary,2425000,2425000,7
ZZ,C00901918,pre_primary,1830000,1830000,4
ZZ,C00919084,pre_primary,150000,150000,2
