state,candidate,month,positive_cents,net_cents,count
FL,C00369033,2026-03,2620300,2620300,22
FL,C00369033,2026-04,3584850,982310,28
FL,C00369033,2026-05,9859677,9859677,84
FL,C00901918,2025-04,928057,928057,7
FL,C00901918,2025-05,1362051,1362051,5
FL,C00901918,2025-06,1114551,1114551,11
FL,C00901918,2025-07,116828,116828,9
FL,C00901918,2025-08,83186,83186,9
FL,C00901918,2025-09,2213446,2213446,13
FL,C00901918,2025-10,163352,163352,20
FL,C00901918,2025-11,59952,59952,12
FL,C00901918,2025-12,2780963,2780963,39
FL,C00901918,2026-01,227268,227268,26
FL,C00901918,2026-02,672839,672839,56
FL,C00901918,2026-03,1381305,1381305,93
FL,C00901918,2026-04,1000427,974402,34
FL,C00901918,2026-05,1456403,1006403,119
FL,C00901918,2026-06,2261664,2261664,175
FL,C00919084,2025-09,2937500,2937500,73
FL,C00919084,2025-10,1248727,1248727,90
FL,C00919084,2025-11,496227,496227,59
FL,C00919084,2025-12,2831085,2831085,136
FL,C00919084,2026-01,3160153,3160153,199
FL,C00919084,2026-02,9104548,9104548,581
FL,C00919084,2026-03,10031987,10031987,603
FL,C00919084,2026-04,3101163,3101163,469
FL,C00919084,2026-05,12691576,12691576,975
FL,C00919084,2026-06,10053638,10053638,842
GA,C00369033,2025-01,46875,46875,45
GA,C00369033,2025-02,4975,4975,4
GA,C00369033,2025-03,101875,101875,2
GA,C00369033,2025-04,1459297,1459297,3
GA,C00369033,2025-05,556300,556300,14
GA,C00369033,2025-06,300000,300000,3
GA,C00369033,2025-08,90000,90000,2
GA,C00369033,2025-09,50000,50000,1
GA,C00369033,2025-10,24600,24600,26
GA,C00369033,2025-11,1850,1850,6
GA,C00369033,2025-12,100000,100000,1
GA,C00369033,2026-01,223680,223680,10
GA,C00369033,2026-02,226025,226025,3
GA,C00369033,2026-03,925000,925000,4
GA,C00369033,2026-04,500000,500000,10
GA,C00369033,2026-05,2035100,2035100,9
GA,C00901918,2025-04,706205,706205,3
GA,C00901918,2025-05,65410,65410,3
GA,C00901918,2025-06,455205,455205,3
GA,C00901918,2025-07,30000,30000,1
GA,C00901918,2025-08,25000,25000,1
GA,C00901918,2025-09,30205,30205,2
GA,C00901918,2025-10,65726,65726,5
GA,C00901918,2025-11,5726,5726,2
GA,C00901918,2025-12,552603,552603,2
GA,C00901918,2026-01,46025,46025,4
GA,C00901918,2026-02,765554,765554,8
GA,C00901918,2026-03,1120217,1120217,19
GA,C00901918,2026-04,1774033,1774033,7
GA,C00901918,2026-05,744580,-655420,34
GA,C00901918,2026-06,302690,302690,25
GA,C00919084,2025-09,1805000,1805000,31
GA,C00919084,2025-10,490600,490600,39
GA,C00919084,2025-11,386120,386120,33
GA,C00919084,2025-12,857800,857800,50
GA,C00919084,2026-01,1070000,1070000,88
GA,C00919084,2026-02,3201000,3201000,244
GA,C00919084,2026-03,3506765,3506765,223
GA,C00919084,2026-04,1176292,1176292,198
GA,C00919084,2026-05,4810690,4810690,406
GA,C00919084,2026-06,3922747,3922747,334
HI,C00369033,2025-06,50000,50000,1
HI,C00901918,2025-08,13410,13410,2
HI,C00901918,2026-03,41640,41640,2
HI,C00901918,2026-04,26025,26025,1
HI,C00901918,2026-05,68320,68320,6
HI,C00901918,2026-06,5000,5000,1
HI,C00919084,2025-09,171200,171200,11
HI,C00919084,2025-10,76200,76200,16
HI,C00919084,2025-11,99000,99000,14
HI,C00919084,2025-12,80000,80000,15
HI,C00919084,2026-01,182500,182500,28
HI,C00919084,2026-02,724500,724500,58
HI,C00919084,2026-03,627481,627481,60
HI,C00919084,2026-04,264814,264814,56
HI,C00919084,2026-05,845700,845700,96
HI,C00919084,2026-06,1136751,1136751,78
IA,C00369033,2025-01,3000,3000,2
IA,C00369033,2025-02,3000,3000,2
IA,C00369033,2025-03,3000,3000,2
IA,C00369033,2025-04,500,500,1
IA,C00369033,2025-05,5700,5700,4
IA,C00369033,2025-06,53000,53000,3
IA,C00369033,2025-07,53000,53000,3
IA,C00369033,2025-08,3000,3000,2
IA,C00369033,2025-09,3000,3000,2
IA,C00369033,2025-10,3000,3000,2
IA,C00369033,2025-11,3000,3000,2
IA,C00369033,2025-12,3000,3000,2
IA,C00369033,2026-01,3000,3000,2
IA,C00369033,2026-02,53000,53000,3
IA,C00369033,2026-04,103000,103000,4
IA,C00369033,2026-05,500,500,1
IA,C00901918,2025-09,350000,350000,1
IA,C00901918,2025-10,3500,3500,1
IA,C00901918,2025-12,10000,10000,2
IA,C00901918,2026-02,26000,26000,3
IA,C00901918,2026-03,10000,10000,2
IA,C00901918,2026-04,110000,110000,5
IA,C00901918,2026-05,15410,15410,2
IA,C00901918,2026-06,10410,10410,1
IA,C00919084,2025-09,350000,350000,5
IA,C00919084,2025-10,69000,69000,4
IA,C00919084,2025-11,53500,53500,4
IA,C00919084,2025-12,120254,120254,14
IA,C00919084,2026-01,147600,147600,18
IA,C00919084,2026-02,258900,258900,45
IA,C00919084,2026-03,416250,416250,42
IA,C00919084,2026-04,207623,207623,32
IA,C00919084,2026-05,864427,864427,59
IA,C00919084,2026-06,515847,515847,64
ID,C00369033,2025-03,300,300,1
ID,C00369033,2025-04,500,500,1
ID,C00369033,2025-05,154200,154200,9
ID,C00369033,2025-06,4200,4200,4
ID,C00369033,2025-07,57600,57600,6
ID,C00369033,2025-08,500,500,1
ID,C00369033,2025-09,200000,150000,4
ID,C00369033,2026-02,7500,7500,1
ID,C00369033,2026-04,100000,100000,2
